"scenario","n","p_numeric","n_factor","n_levels","method","iteration","runtime_sec","success","error_message"
"n2000_p50_f20",2000,50,1,20,"fbrglm",2,0.0152346739778295,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"fbrglm",3,0.0194882840150967,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"fbrglm",4,0.0139829930849373,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"fbrglm",5,0.0194033151492476,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnet_raw",1,0.00444013194646686,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnet_raw",2,0.00445750192739069,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnet_raw",3,0.0048801579978317,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnet_raw",4,0.00489339395426214,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnet_raw",5,0.00843532488215715,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnetUtils",1,0.0158243590267375,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnetUtils",2,0.0194240550044924,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnetUtils",3,0.018899637972936,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnetUtils",4,0.0188650580821559,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"glmnetUtils",5,0.0224903069902211,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"parsnip_workflow",1,0.0547226590570062,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"parsnip_workflow",2,0.0545409290352836,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"parsnip_workflow",3,0.0581114140804857,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"parsnip_workflow",4,0.0537504811072722,TRUE,NA
"n2000_p50_f20",2000,50,1,20,"parsnip_workflow",5,0.0571164501598105,TRUE,NA
